Make,Model,n,Model_is_base,Model_agg
ACURA,3.2 CL,1,1,
ACURA,3.2 CL 3.2L V 6 NA S,3,,3.2 CL
ACURA,3.2 TL,8,1,
ACURA,3.2 TL 3.2L V6 EFI,5,,3.2 TL
ACURA,3.2 TL 3.2L V6 FI DO,2,,3.2 TL
ACURA,MDX 4WD,3,1,
ACURA,MDX 4WD 3.5L V6 EFI,1,,MDX 4WD
ACURA,MDX 4WD 3.5L V6 SOHC,1,,MDX 4WD
ACURA,RSX,2,1,
ACURA,TL,3,1,
ACURA,TSX,4,1,
BUICK,CENTURY V6,81,1,
BUICK,CENTURY V6 3.1L V6 S,103,,CENTURY V6
BUICK,LACROSSE,97,1,
BUICK,LACROSSE 3.6L V6 SFI,3,,LACROSSE
BUICK,LACROSSE 3.8L V6 SFI,43,,LACROSSE
BUICK,LE SABRE,64,1,
BUICK,LE SABRE 3.8L V6 MFI,38,,LE SABRE
BUICK,LE SABRE 3.8L V6 MPI,3,,LE SABRE
BUICK,LE SABRE Unspecified,38,,LE SABRE
BUICK,LUCERNE V6,8,1,
BUICK,LUCERNE V6 3.8L V6 S,3,,LUCERNE V6
BUICK,PARK AVENUE,9,1,
BUICK,PARK AVENUE 3.8L V6,6,,PARK AVENUE
BUICK,RAINIER AWD V6,8,1,RAINIER
BUICK,RAINIER AWD V6 4.2L,4,,RAINIER
BUICK,RAINIER AWD V8,1,,RAINIER
BUICK,RAINIER RWD V6,7,,RAINIER
BUICK,RAINIER RWD V6 4.2L,3,,RAINIER
BUICK,RAINIER RWD V8,3,,RAINIER
BUICK,RAINIER RWD V8 5.3L,2,,RAINIER
BUICK,REGAL,21,1,
BUICK,REGAL 3.8L V6 MFI,13,,REGAL
BUICK,REGAL 3.8L V6 MFI SC,6,,REGAL
BUICK,REGAL 3.8L V6 SFI,2,,REGAL
BUICK,RENDEZVOUS AWD,29,,RENDEZVOUS
BUICK,RENDEZVOUS AWD 3.4L,5,,RENDEZVOUS
BUICK,RENDEZVOUS AWD 3.5L,1,,RENDEZVOUS
BUICK,RENDEZVOUS FWD,88,1,RENDEZVOUS
BUICK,RENDEZVOUS FWD 3.4L,13,,RENDEZVOUS
BUICK,RENDEZVOUS FWD 3.5L,3,,RENDEZVOUS
BUICK,TERRAZA FWD V6,11,1,TERRAZA
BUICK,TERRAZA FWD V6 3.5L,4,,TERRAZA
CADILLAC,CTS,17,1,
CADILLAC,CTS 3.2L V6 SFI,2,,CTS
CADILLAC,CTS 3.6L V6 SFI,3,,CTS
CADILLAC,ESCALADE 2WD,1,1,
CADILLAC,SRX AWD V6,4,1,SRX
CADILLAC,SRX AWD V6 3.6L V6 S,3,,SRX
CADILLAC,SRX AWD V8 4.6L V8 S,1,,SRX
CADILLAC,STS V6,2,1,
CHEVROLET,1500 SILVERADO PICKU,596,1,SILVERADO
CHEVROLET,1500HD SILVERADO PIC,8,,SILVERADO
CHEVROLET,2500 SILVERADO PICKU,2,,SILVERADO
CHEVROLET,2500HD SILVERADO PIC,10,,SILVERADO
CHEVROLET,AVALANCHE 1500 2WD V,110,1,AVALANCHE
CHEVROLET,AVALANCHE 1500 4WD V,14,,AVALANCHE
CHEVROLET,AVALANCHE 2500 2WD V,1,,AVALANCHE
CHEVROLET,AVEO,384,1,
CHEVROLET,AVEO 1.6L I-4 EFI DO,36,,AVEO
CHEVROLET,AVEO 1.6L I-4 MPI DO,36,,AVEO
CHEVROLET,AVEO 1.6L I4 DOHC,7,,AVEO
CHEVROLET,AVEO 1.6L I4 EFI,91,,AVEO
CHEVROLET,AVEO 1.6L I4 EFI / M,15,,AVEO
CHEVROLET,CAMARO V6,6,1,
CHEVROLET,CAMARO V6 3.8L V6 MF,8,,CAMARO V6
CHEVROLET,CAVALIER 4C,236,1,
CHEVROLET,CAVALIER 4C 2.2L I-4,17,,CAVALIER 4C
CHEVROLET,CAVALIER 4C 2.2L I 4,4,,CAVALIER 4C
CHEVROLET,CAVALIER 4C 2.2L I4,276,,CAVALIER 4C
CHEVROLET,CAVALIER 4C 2.4L I-4,2,,CAVALIER 4C
CHEVROLET,COBALT,1106,1,
CHEVROLET,COBALT 2.2L I-4 MPI,6,,COBALT
CHEVROLET,COBALT 2.2L I4 MPI,430,,COBALT
CHEVROLET,COBALT 2.2L I4 MPI /,36,,COBALT
CHEVROLET,COLORADO PICKUP 2WD,134,1,COLORADO PICKUP
CHEVROLET,COLORADO PICKUP 4WD,3,,COLORADO PICKUP
CHEVROLET,EQUINOX AWD V6,104,,EQUINOX
CHEVROLET,EQUINOX AWD V6 3.4L,124,,EQUINOX
CHEVROLET,EQUINOX FWD V6,333,1,EQUINOX
CHEVROLET,EQUINOX FWD V6 3.4L,176,,EQUINOX
CHEVROLET,HHR,549,1,
CHEVROLET,HHR 2.2L I-4 MPI DOH,7,,HHR
CHEVROLET,HHR 2.2L I4 MPI,100,,HHR
CHEVROLET,HHR 2.2L I4 MPI / SF,51,,HHR
CHEVROLET,HHR 2.4L I-4 MPI,23,,HHR
CHEVROLET,HHR 2.4L I4 MPI,12,,HHR
CHEVROLET,HHR 2.4L I4 MPI / SF,3,,HHR
CHEVROLET,IMPALA,1990,1,
CHEVROLET,IMPALA 3.4L V6 SFI,505,,IMPALA V6
CHEVROLET,IMPALA 3.5L V6 MPI /,1,,IMPALA V6
CHEVROLET,IMPALA 3.5L V6 SFI,827,,IMPALA V6
CHEVROLET,IMPALA 3.5L V6 SFI F,22,,IMPALA V6
CHEVROLET,IMPALA 3.8L V6 MFI,32,,IMPALA V6
CHEVROLET,IMPALA 3.8L V6 MFI S,3,,IMPALA V6
CHEVROLET,IMPALA 3.8L V6 SFI,47,,IMPALA V6
CHEVROLET,IMPALA 3.9L V6 SFI,38,,IMPALA V6
CHEVROLET,IMPALA 5.3L V8 SFI,1,,IMPALA V6
CHEVROLET,IMPALA V6,1062,1,
CHEVROLET,IMPALA V6 3.5L V6 MP,11,,IMPALA V6
CHEVROLET,IMPALA V6 3.5L V6 SF,228,,IMPALA V6
CHEVROLET,IMPALA V6 3.9L V6 SF,17,,IMPALA V6
CHEVROLET,MALIBU 4C,1225,1,MALIBU
CHEVROLET,MALIBU 4C 2.2L I-4 M,1,,MALIBU
CHEVROLET,MALIBU 4C 2.2L I4 MF,37,,MALIBU
CHEVROLET,MALIBU 4C 2.2L I4 MP,715,,MALIBU
CHEVROLET,MALIBU 4C 2.4L I4 MP,1,,MALIBU
CHEVROLET,MALIBU HYBRID,1,,MALIBU
CHEVROLET,MALIBU MAXX V6,251,,MALIBU V6
CHEVROLET,MALIBU MAXX V6 3.5L,149,,MALIBU V6
CHEVROLET,MALIBU V6,586,1,MALIBU V6
CHEVROLET,MALIBU V6 3.1L V6 SF,118,,MALIBU V6
CHEVROLET,MALIBU V6 3.5L V6 MF,23,,MALIBU V6
CHEVROLET,MALIBU V6 3.5L V6 SF,303,,MALIBU V6
CHEVROLET,MONTE CARLO,178,1,
CHEVROLET,MONTE CARLO 3.4L V6,95,,MONTE CARLO
CHEVROLET,MONTE CARLO 3.5L V6,26,,MONTE CARLO
CHEVROLET,MONTE CARLO 3.8L V6,32,,MONTE CARLO
CHEVROLET,MONTE CARLO 3.9L V6,10,,MONTE CARLO
CHEVROLET,PRIZM,3,1,
CHEVROLET,PRIZM 1.8L I-4 SFI D,1,,PRIZM
CHEVROLET,S10 PICKUP 2WD 4C,19,1,S10
CHEVROLET,S10 PICKUP 2WD 4C 2.,19,1,S10
CHEVROLET,S10 PICKUP 2WD V6,8,,S10
CHEVROLET,S10 PICKUP 2WD V6 4.,3,,S10
CHEVROLET,S10 PICKUP 2WD V6 MF,5,,S10
CHEVROLET,S10 PICKUP 4WD V6,1,,S10
CHEVROLET,S10 PICKUP 4WD V6 4.,1,,S10
CHEVROLET,S10 PICKUP 4WD V6 MF,1,,S10
CHEVROLET,SUBURBAN 1500 2WD,52,1,SUBURBAN
CHEVROLET,SUBURBAN 1500 2WD 5.,53,1,SUBURBAN
CHEVROLET,SUBURBAN 1500 4WD,16,,SUBURBAN
CHEVROLET,SUBURBAN 1500 4WD 5.,16,,SUBURBAN
CHEVROLET,SUBURBAN 2500 4WD,1,,SUBURBAN
CHEVROLET,SUBURBAN 2500 4WD 6.,1,,SUBURBAN
CHEVROLET,TAHOE 2WD,98,1,TAHOE
CHEVROLET,TAHOE 2WD 4.8L V8 SF,56,,TAHOE
CHEVROLET,TAHOE 2WD 5.3L V8 SF,64,,TAHOE
CHEVROLET,TAHOE 4WD,27,,TAHOE
CHEVROLET,TAHOE 4WD 4.8L V8 SF,7,,TAHOE
CHEVROLET,TAHOE 4WD 5.3L V8 SF,44,,TAHOE
CHEVROLET,TRACKER 2WD 4C,9,1,TRACKER
CHEVROLET,TRACKER 2WD 4C 2.0L,15,,TRACKER
CHEVROLET,TRACKER 2WD V6,9,,TRACKER
CHEVROLET,TRACKER 2WD V6 2.5L,5,,TRACKER
CHEVROLET,TRACKER 4WD 4C,2,,TRACKER
CHEVROLET,TRACKER 4WD 4C 2.0L,2,,TRACKER
CHEVROLET,TRACKER 4WD V6,3,,TRACKER
CHEVROLET,TRACKER 4WD V6 2.5L,5,,TRACKER
CHEVROLET,TRAILBLAZER 2WD 6C,497,1,TRAILBLAZER
CHEVROLET,TRAILBLAZER 2WD 6C 4,395,,TRAILBLAZER
CHEVROLET,TRAILBLAZER 2WD V8,3,,TRAILBLAZER
CHEVROLET,TRAILBLAZER 4WD 6C,264,,TRAILBLAZER
CHEVROLET,TRAILBLAZER 4WD 6C 4,264,,TRAILBLAZER
CHEVROLET,TRAILBLAZER 4WD V8,1,,TRAILBLAZER
CHEVROLET,TRAILBLAZER EXT 2WD,200,,TRAILBLAZER
CHEVROLET,TRAILBLAZER EXT 4WD,160,,TRAILBLAZER
CHEVROLET,UPLANDER,1,,
CHEVROLET,UPLANDER AWD V6,5,,UPLANDER
CHEVROLET,UPLANDER AWD V6 3.5L,7,,UPLANDER
CHEVROLET,UPLANDER FWD V6,542,1,UPLANDER
CHEVROLET,UPLANDER FWD V6 3.5L,272,,UPLANDER
CHEVROLET,UPLANDER FWD V6 3.9L,148,,UPLANDER
CHEVROLET,VENTURE AWD V6,3,,VENTURE
CHEVROLET,VENTURE AWD V6 3.4L,6,,VENTURE
CHEVROLET,VENTURE FWD V6,175,1,VENTURE
CHEVROLET,VENTURE FWD V6 3.4L,165,,VENTURE
CHEVROLET,VENTURE FWD V6 3.5L,3,,VENTURE
CHRYSLER,300,237,1,
CHRYSLER,300 2.7L V6 MPI,174,,300
CHRYSLER,300 3.5L / 6.0L V12,10,,300
CHRYSLER,300 3.5L V6 MPI,22,,300
CHRYSLER,300 3.5L V6 MPI / SM,26,,300
CHRYSLER,300C,5,,300
CHRYSLER,300C 5.7L V8 SFI,1,,300
CHRYSLER,300C 5.7L V8 SFI / S,1,,300
CHRYSLER,300M,11,,300
CHRYSLER,300M 3.5L V6 MPI,8,,300
CHRYSLER,300M 3.5L V6 MPI HO,2,,300
CHRYSLER,ASPEN 2WD V8,4,1,
CHRYSLER,CONCORDE,21,1,
CHRYSLER,CONCORDE 2.7L V6 SFI,3,,CONCORDE
CHRYSLER,CONCORDE 3.2L V6 EFI,1,,CONCORDE
CHRYSLER,CONCORDE 3.5L V6 MPI,16,,CONCORDE
CHRYSLER,CROSSFIRE 3.2L V6 MP,2,,
CHRYSLER,LHS,1,1,
CHRYSLER,Pacifica,1,,PACIFICA
CHRYSLER,PACIFICA AWD,101,,PACIFICA
CHRYSLER,PACIFICA AWD 3.5L V6,93,,PACIFICA
CHRYSLER,PACIFICA AWD 4.0L V6,16,,PACIFICA
CHRYSLER,PACIFICA FWD,441,1,PACIFICA
CHRYSLER,PACIFICA FWD 3.5L V6,314,,PACIFICA
CHRYSLER,PACIFICA FWD 3.8L V6,122,,PACIFICA
CHRYSLER,PACIFICA FWD 4.0L V6,16,,PACIFICA
CHRYSLER,PT CRUISER,2329,1,
CHRYSLER,PT CRUISER 2.4L I-4,80,,PT CRUISER
CHRYSLER,PT CRUISER 2.4L I4 D,10,,PT CRUISER
CHRYSLER,PT CRUISER 2.4L I4 M,205,,PT CRUISER
CHRYSLER,PT CRUISER 2.4L I4 S,1104,,PT CRUISER
CHRYSLER,SEBRING 4C,1157,1,
CHRYSLER,SEBRING 4C 2.4L I-4,34,,SEBRING 4C
CHRYSLER,SEBRING 4C 2.4L I4 E,478,,SEBRING 4C
CHRYSLER,SEBRING 4C 2.4L I4 M,1,,SEBRING 4C
CHRYSLER,SEBRING 4C 2.4L I4 S,151,,SEBRING 4C
CHRYSLER,SEBRING V6,486,,
CHRYSLER,SEBRING V6 2.4L I4 S,2,,SEBRING V6
CHRYSLER,SEBRING V6 2.7L V6 M,179,,SEBRING V6
CHRYSLER,SEBRING V6 2.7L V6 S,1,,SEBRING V6
CHRYSLER,SEBRING V6 3.0L V6 M,22,,SEBRING V6
CHRYSLER,SEBRING V6 MFI V6 2.,31,,SEBRING V6
CHRYSLER,TOWN & COUNTRY 2WD V,379,1,TOWN & COUNTRY
CHRYSLER,TOWN & COUNTRY AWD V,2,,TOWN & COUNTRY
CHRYSLER,TOWN & COUNTRY FWD V,489,1,TOWN & COUNTRY
CHRYSLER,VOYAGER FWD 4C,6,1,VOYAGER
CHRYSLER,VOYAGER FWD 4C 2.4L,14,,VOYAGER
CHRYSLER,VOYAGER FWD V6,17,,VOYAGER
CHRYSLER,VOYAGER FWD V6 3.3L,18,,VOYAGER
DODGE,1500 RAM PICKUP 2WD,1101,1,RAM PICKUP
DODGE,1500 RAM PICKUP 4WD,57,,RAM PICKUP
DODGE,2500 RAM PICKUP 2WD,13,,RAM PICKUP
DODGE,2500 RAM PICKUP 4WD,3,,RAM PICKUP
DODGE,AVENGER,3,,
DODGE,AVENGER 4C,679,1,AVENGER
DODGE,AVENGER 4C 2.4L I4 S,384,,AVENGER
DODGE,AVENGER V6,71,,AVENGER
DODGE,AVENGER V6 2.7L V6 M,1,,AVENGER
DODGE,AVENGER V6 Unspecifi,4,,AVENGER
DODGE,CALIBER,1375,1,
DODGE,CALIBER 1.8L I4 SFI,1,,CALIBER
DODGE,CALIBER 2.0L I4 SFI,488,,CALIBER
DODGE,CARAVAN,2,,
DODGE,CARAVAN FWD 4C,104,1,CARAVAN
DODGE,CARAVAN FWD 4C 2.4L,86,,CARAVAN
DODGE,CARAVAN FWD V6,276,1,CARAVAN
DODGE,CARAVAN FWD V6 3.3L,367,,CARAVAN
DODGE,CARAVAN GRAND AWD V6,3,,CARAVAN GRAND
DODGE,CARAVAN GRAND FWD V6,1289,1,CARAVAN GRAND
DODGE,CARAVAN SE,1,,CARAVAN
DODGE,CHARGER,104,1,
DODGE,CHARGER 2.7L V6 MPI,99,,CHARGER V6
DODGE,CHARGER 3.5L V6 EFI,40,,CHARGER V6
DODGE,CHARGER V6,300,1,CHARGER V6
DODGE,CHARGER V6 2.7L V6 M,116,,CHARGER V6
DODGE,CHARGER V6 3.5L V6 E,24,,CHARGER V6
DODGE,DAKOTA PICKUP 2WD 4C,2,,DAKOTA PICKUP
DODGE,DAKOTA PICKUP 2WD V6,178,1,DAKOTA PICKUP
DODGE,DAKOTA PICKUP 2WD V8,76,,DAKOTA PICKUP
DODGE,DAKOTA PICKUP 4WD V6,8,,DAKOTA PICKUP
DODGE,DAKOTA PICKUP 4WD V8,4,,DAKOTA PICKUP
DODGE,DURANGO 2WD V6,143,1,DURANGO V6
DODGE,DURANGO 2WD V6 3.7L,79,,DURANGO V6
DODGE,DURANGO 2WD V8,484,,DURANGO V8
DODGE,DURANGO 2WD V8 4.7L,296,,DURANGO V8
DODGE,DURANGO 2WD V8 5.7L,60,,DURANGO V8
DODGE,DURANGO 2WD V8 5.9L,13,,DURANGO V8
DODGE,DURANGO 4WD V8,366,1,DURANGO V8
DODGE,DURANGO 4WD V8 4.7L,196,,DURANGO V8
DODGE,DURANGO 4WD V8 5.7L,45,,DURANGO V8
DODGE,DURANGO 4WD V8 5.9L,7,,DURANGO V8
DODGE,DURANGO 4WD V8 MFI V,1,,DURANGO V8
DODGE,DURANGO 4WD V8 SEFI,9,,DURANGO V8
DODGE,INTREPID,14,1,
DODGE,INTREPID 2.7L V6 SFI,5,,INTREPID
DODGE,INTREPID 3.5L V6 EFI,1,,INTREPID
DODGE,INTREPID 3.5L V6 MPI,15,,INTREPID
DODGE,JOURNEY FWD 4C,17,1,JOURNEY
DODGE,JOURNEY FWD V6,4,,JOURNEY
DODGE,MAGNUM V6,206,1,MAGNUM
DODGE,MAGNUM V6 2.7L V6 MP,237,1,MAGNUM
DODGE,MAGNUM V6 3.5L V6 MP,56,,MAGNUM
DODGE,MAGNUM V6 MFI V6 3.5,1,,MAGNUM
DODGE,MAGNUM V8,5,,MAGNUM
DODGE,MAGNUM V8 5.7L V8 SF,2,,MAGNUM
DODGE,NEON,375,1,
DODGE,NEON 2.0L I-4 SFI SO,5,,NEON
DODGE,NEON 2.0L I4 SFI,325,1,NEON
DODGE,NEON 2.0L I4 SFI / S,37,,NEON
DODGE,NITRO 2WD V6,69,1,NITRO
DODGE,NITRO 2WD V6 3.7L V6,13,,NITRO
DODGE,NITRO 4WD V6,29,,NITRO
DODGE,NITRO 4WD V6 3.7L V6,3,,NITRO
DODGE,STRATUS 4C,501,1,STRATUS 4C
DODGE,STRATUS 4C 2.4L I-4,16,,STRATUS 4C
DODGE,STRATUS 4C 2.4L I4 M,292,,STRATUS 4C
DODGE,STRATUS 4C 2.4L I4 S,181,,STRATUS 4C
DODGE,STRATUS V6,543,1,STRATUS V6
DODGE,STRATUS V6 2.4L I-4,4,,STRATUS V6
DODGE,STRATUS V6 2.7L V6 M,991,1,STRATUS V6
DODGE,STRATUS V6 2.7L V6 S,1,,STRATUS V6
DODGE,STRATUS V6 3.0L V6 E,6,,STRATUS V6
FORD,CROWN VICTORIA,6,1,
FORD,CROWN VICTORIA 4.6L,5,,CROWN VICTORIA
FORD,EDGE AWD V6,4,,EDGE
FORD,EDGE AWD V6 3.5L V6,1,,EDGE
FORD,EDGE FWD V6,9,1,EDGE
FORD,ESCAPE,1,,
FORD,ESCAPE 2WD 4C,157,1,ESCAPE
FORD,ESCAPE 2WD 4C 2.0L I,5,,ESCAPE
FORD,ESCAPE 2WD 4C 2.3L I,74,,ESCAPE
FORD,ESCAPE 2WD V6,179,1,ESCAPE
FORD,ESCAPE 2WD V6 3.0L V,130,,ESCAPE
FORD,ESCAPE 4WD 4C,14,,ESCAPE
FORD,ESCAPE 4WD 4C 2.3L I,7,,ESCAPE
FORD,ESCAPE 4WD V6,69,,ESCAPE
FORD,ESCAPE 4WD V6 3.0L V,62,,ESCAPE
FORD,ESCORT,1,,
FORD,ESCORT 2.0L I-4 EFI,5,,ESCORT
FORD,ESCORT 2.0L I-4 SPI,2,,ESCORT
FORD,ESCORT 2.0L I4 EFI,6,1,ESCORT
FORD,ESCORT 4-FI-2.0L,2,,ESCORT
FORD,EXCURSION 4WD V8 5.4,1,1,EXCURSION
FORD,EXPEDITION 2WD V8,249,1,EXPEDITION V8
FORD,EXPEDITION 2WD V8 4.,165,1,EXPEDITION V8
FORD,EXPEDITION 2WD V8 5.,114,1,EXPEDITION V8
FORD,EXPEDITION 4WD V8,82,,EXPEDITION V8
FORD,EXPEDITION 4WD V8 4.,29,,EXPEDITION V8
FORD,EXPEDITION 4WD V8 5.,87,,EXPEDITION V8
FORD,EXPLORER 2WD V6,239,1,EXPLORER
FORD,EXPLORER 2WD V6 4.0L,246,1,EXPLORER
FORD,EXPLORER 2WD V8,17,,EXPLORER
FORD,EXPLORER 2WD V8 4.6L,15,,EXPLORER
FORD,EXPLORER 4WD V6,146,,EXPLORER
FORD,EXPLORER 4WD V6 4.0L,114,,EXPLORER
FORD,EXPLORER 4WD V8,20,,EXPLORER
FORD,EXPLORER 4WD V8 4.6L,12,,EXPLORER
FORD,EXPLORER AWD V6,1,,EXPLORER
FORD,EXPLORER AWD V6 4.0L,2,,EXPLORER
FORD,F150 PICKUP 2WD V6,124,,F150 PICKUP
FORD,F150 PICKUP 2WD V6 4,111,,F150 PICKUP
FORD,F150 PICKUP 2WD V8,323,1,F150 PICKUP
FORD,F150 PICKUP 2WD V8 4,183,1,F150 PICKUP
FORD,F150 PICKUP 2WD V8 5,81,,F150 PICKUP
FORD,F150 PICKUP 4WD V6,3,,F150 PICKUP
FORD,F150 PICKUP 4WD V8,33,,F150 PICKUP
